,Ceremony,Film,Award_Count,moviesearch
346,8,"Clem Beauchamp, Paul Wing",1,"clembeauchamp,paulwing"
347,8,Sherry Shourds [Second],0,sherryshourds[second]
348,8,Ray June,0,rayjune
349,8,Victor Milner [Third],0,victormilner[third]
350,8,Gregg Toland [Second],0,greggtoland[second]
351,8,Hal Mohr,1,halmohr
352,8,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third],0,lullabyofbroadwayandthewordsareinmyheartnumbersfromgolddiggersof1935[third]
353,8,Latin from Manhattan number from Go into Your Dance,0,latinfrommanhattannumberfromgointoyourdance
354,8,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess,0,latinfrommanhattannumberfromgointoyourdance;andplayboyfrompareenumberfrombroadwayhostess
355,8,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere,1,i'vegotafeelingyou'refoolingnumberfrombroadwaymelodyof1936;andstrawhatnumberfromfoliesbergere
356,8,Lovely Lady and Too Good To Be True numbers from King of Burlesque,0,lovelyladyandtoogoodtobetruenumbersfromkingofburlesque
357,8,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]",0,"piccolinoandtophat,whitetie,andtailsnumbersfromtophat[second]"
358,8,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses,0,it'stheanimalinmenumberfrombigbroadcastof1936;andviennesewaltznumberfromalltheking'shorses
359,8,Hall of Kings number from She,0,hallofkingsnumberfromshe
360,8,Michael Curtiz [Second],0,michaelcurtiz[second]
361,8,John Ford,4,johnford
362,8,Henry Hathaway [Third],0,henryhathaway[third]
363,8,Frank Lloyd,1,franklloyd
364,8,Robert J. Kern,1,robertj.kern
365,8,George Hively [Third],0,georgehively[third]
366,8,Barbara McLean,1,barbaramclean
367,8,Ellsworth Hoagland,0,ellsworthhoagland
368,8,Ralph Dawson,3,ralphdawson
369,8,Margaret Booth [Second],0,margaretbooth[second]
370,8,"Warner Brothers-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold) [Third]",0,"warnerbrothers-firstnationalstudiomusicdepartment,leoforbstein,headofdepartment(scorebyerichwolfgangkorngold)[third]"
371,8,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",1,"rkoradiostudiomusicdepartment,maxsteiner,headofdepartment(scorebymaxsteiner)"
372,8,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart) [Second]",0,"metro-goldwyn-mayerstudiomusicdepartment,natw.finston,headofdepartment(scorebyherbertstothart)[second]"
373,8,"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)",0,"paramountstudiomusicdepartment,irvintalbot,headofdepartment(scorebyernsttoch)"
374,8,Music and Lyrics by Irving Berlin [Second],0,musicandlyricsbyirvingberlin[second]
375,8,Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh [Third],0,musicbyjeromekern;lyricsbydorothyfieldsandjimmymchugh[third]
376,8,Music by Harry Warren; Lyrics by Al Dubin,1,musicbyharrywarren;lyricsbyaldubin
377,8,RKO Radio,1,rkoradio
378,8,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
379,8,Cosmopolitan [Third],0,cosmopolitan[third]
380,8,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
381,8,RKO Radio [Second],0,rkoradio[second]
382,8,20th Century,0,20thcentury
383,8,Paramount,5,paramount
384,8,Warner Brothers,7,warnerbrothers
385,8,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
386,8,Metro-Goldwyn-Mayer,11,metro-goldwyn-mayer
387,8,Paramount,5,paramount
388,8,RKO Radio,1,rkoradio
389,8,Harman-Ising [Third],0,harman-ising[third]
390,8,"Walt Disney, Producer",22,"waltdisney,producer"
391,8,"Walt Disney, Producer [Second]",0,"waltdisney,producer[second]"
392,8,"Jack Chertok, Producer",1,"jackchertok,producer"
393,8,"Jules White, Producer [Second]",0,"juleswhite,producer[second]"
394,8,"Hal Roach, Producer [Third]",0,"halroach,producer[third]"
395,8,"Pete Smith, Producer [tied for 2nd]",0,"petesmith,producer[tiedfor2nd]"
